Wall time,Step,Value
1749750323,0,70.94000244
1749750323,1,70.94000244
1749750323,2,70.94000244
1749750323,3,70.94000244
1749750323,4,70.94000244
1749750323,5,70.94000244
1749750323,6,62.59999847
1749750323,7,62.59999847
1749750323,8,62.59999847
1749750323,9,62.59999847
1749750323,10,62.59999847
1749750323,11,62.59999847
1749750323,12,62.59999847
1749750323,13,62.59999847
1749750323,14,62.59999847
1749750323,15,62.59999847
1749750323,16,62.59999847
1749750323,17,62.59999847
1749750323,18,62.59999847
1749750323,19,62.59999847
1749750323,20,62.59999847
1749750323,21,62.59999847
1749750323,22,62.59999847
1749750323,23,62.59999847
1749750323,24,62.59999847
1749750323,25,62.59999847
1749750323,26,62.59999847
1749750323,27,62.59999847
1749750323,28,62.59999847
1749750323,29,62.59999847
1749750323,30,62.59999847
1749750323,31,62.59999847
1749750323,32,62.59999847
1749750323,33,62.59999847
1749750323,34,62.59999847
1749750323,35,62.59999847
1749750323,36,62.59999847
1749750323,37,62.59999847
1749750323,38,52.16999817
1749750323,39,52.16999817
1749750323,40,37.45000076
1749750323,41,37.45000076
1749750323,42,21.76000023
1749750323,43,21.76000023
1749750323,44,13.27999973
1749750323,45,41.20999908
1749750323,46,49.54000092
1749750323,47,57.86999893
1749750323,48,66.20999908
1749750323,49,74.54000092
1749750323,50,82.87000275
1749750323,51,82.87000275
1749750323,52,100
1749750323,53,100
1749750323,54,66.66999817
1749750323,55,42.93000031
1749750323,56,42.93000031
1749750323,57,42.93000031
1749750323,58,42.93000031
1749750323,59,42.93000031
1749750323,60,42.93000031
1749750323,61,42.93000031
1749750323,62,42.93000031
1749750323,63,42.93000031
1749750323,64,75.15000153
1749750323,65,41.81999969
1749750323,66,8.479999542
1749750323,67,31.37999916
1749750323,68,31.37999916
1749750323,69,31.37999916
1749750323,70,31.37999916
1749750323,71,39.72000122
1749750323,72,47.25999832
1749750323,73,53.95999908
1749750323,74,62.29000092
1749750323,75,70.62999725
1749750323,76,82.01000214
1749750323,77,95.06999969
1749750323,78,61.72999954
1749750323,79,53.40000153
1749750323,80,53.40000153
1749750323,81,53.40000153
1749750323,82,53.40000153
1749750323,83,53.40000153
1749750323,84,53.40000153
1749750323,85,53.40000153
1749750323,86,53.40000153
1749750323,87,53.40000153
1749750323,88,86.73000336
1749750323,89,53.40000153
1749750323,90,20.06999969
1749750323,91,20.06999969
1749750323,92,20.06999969
1749750323,93,20.06999969
1749750323,94,22.23999977
1749750323,95,33.40000153
1749750323,96,38.65999985
1749750323,97,46.72999954
1749750324,98,55.06000137
1749750324,99,66.62999725
1749750324,100,81.63999939
1749750324,101,96.06999969
1749750324,102,62.74000168
1749750324,103,29.39999962
1749750324,104,29.39999962
1749750324,105,29.39999962
1749750324,106,29.39999962
1749750324,107,29.39999962
1749750324,108,29.39999962
1749750324,109,29.39999962
1749750324,110,29.39999962
1749750324,111,62.74000168
1749750324,112,88.80999756
1749750324,113,55.47000122
1749750324,114,25.84000015
1749750324,115,25.84000015
1749750324,116,25.84000015
1749750324,117,25.84000015
1749750324,118,25.84000015
1749750324,119,34.16999817
1749750324,120,42.50999832
1749750324,121,50.84000015
1749750324,122,59.16999817
1749750324,123,72.29000092
1749750324,124,80.62000275
1749750324,125,100
1749750324,126,66.66999817
1749750324,127,37.25999832
1749750324,128,37.25999832
1749750324,129,37.25999832
1749750324,130,37.25999832
1749750324,131,37.25999832
1749750324,132,37.25999832
1749750324,133,37.25999832
1749750324,134,37.25999832
1749750324,135,37.25999832
1749750324,136,70.58999634
1749750324,137,37.25999832
1749750324,138,3.930000067
1749750324,139,12.26000023
1749750324,140,12.26000023
1749750324,141,12.26000023
1749750324,142,12.26000023
1749750324,143,27.03000069
1749750324,144,45.59999847
1749750324,145,53.93000031
1749750324,146,62.25999832
1749750324,147,70.59999847
1749750324,148,78.93000031
1749750324,149,96.58000183
1749750324,150,63.24000168
1749750324,151,29.90999985
1749750324,152,29.90999985
1749750324,153,29.90999985
1749750324,154,29.90999985
1749750324,155,29.90999985
1749750324,156,29.90999985
1749750324,157,29.90999985
1749750324,158,29.90999985
1749750324,159,63.24000168
1749750324,160,96.44000244
1749750324,161,63.09999847
1749750324,162,29.77000046
1749750324,163,29.77000046
1749750324,164,29.77000046
1749750324,165,29.77000046
1749750324,166,29.77000046
1749750324,167,49.65999985
1749750324,168,57.99000168
1749750324,169,66.31999969
1749750324,170,74.66000366
1749750324,171,82.98999786
1749750324,172,74.66000366
1749750324,173,66.31999969
1749750324,174,57.99000168
1749750324,175,57.99000168
1749750324,176,57.99000168
1749750324,177,57.99000168
1749750324,178,57.99000168
1749750324,179,57.99000168
1749750324,180,57.99000168
1749750324,181,57.99000168
1749750324,182,57.99000168
1749750324,183,53.75
1749750324,184,46.86999893
1749750324,185,46.86999893
1749750324,186,46.86999893
1749750324,187,46.86999893
1749750324,188,46.86999893
1749750324,189,46.86999893
1749750324,190,46.86999893
1749750324,191,46.86999893
